timestamp,open,high,low,close,volume_btc,volume_usd
2021-01-01 00:00:00,29986.27,30057.99,29854.21,30000.0,4175.4731,125264194.06
2021-01-01 01:00:00,29955.38,30135.72,30043.08,30074.51,1792.6287,53912425.16
2021-01-01 02:00:00,29990.3,30081.26,30028.17,30053.72,3556.312,106880391.69
2021-01-01 03:00:00,30115.64,30205.08,30066.33,30151.04,347.9527,10491135.54
2021-01-01 04:00:00,30389.74,30390.71,30327.82,30380.65,2373.6903,72114249.77
2021-01-01 05:00:00,30407.24,30454.06,30209.43,30345.08,4695.1086,142473441.85
2021-01-01 06:00:00,30351.63,30379.66,30250.07,30309.55,1443.0383,43737848.15
2021-01-01 07:00:00,30476.83,30640.6,30365.67,30548.88,344.8569,10534991.34
2021-01-01 08:00:00,30643.3,30738.01,30522.71,30666.1,2956.4305,90662198.85
2021-01-01 09:00:00,30598.79,30671.91,30572.87,30594.12,1839.9888,56292834.78
2021-01-01 10:00:00,30661.03,30752.45,30477.69,30677.11,1960.449,60140916.1
2021-01-01 11:00:00,30589.55,30690.68,30532.31,30606.03,2954.0402,90411448.41
2021-01-01 12:00:00,30429.55,30612.75,30493.71,30534.76,3145.7864,96055835.5
2021-01-01 13:00:00,30501.22,30692.38,30517.94,30571.7,2242.8776,68568587.17
2021-01-01 14:00:00,30254.84,30321.57,30184.19,30279.24,2586.9913,78332132.89
2021-01-01 15:00:00,29832.39,30092.21,29971.0,30018.1,4966.9532,149098473.67
2021-01-01 16:00:00,29972.05,29937.43,29927.28,29933.7,4790.025,143383176.35
2021-01-01 17:00:00,29700.35,29878.04,29662.45,29782.11,3565.8537,106198653.44
2021-01-01 18:00:00,29869.88,29869.92,29693.17,29828.91,891.2497,26585003.8
2021-01-01 19:00:00,29729.05,29757.16,29608.08,29693.48,1863.8044,55342839.17
2021-01-01 20:00:00,29451.74,29642.53,29322.73,29483.8,4427.1323,130528678.91
2021-01-01 21:00:00,29759.3,29837.51,29502.66,29699.86,2175.473,64611250.81
2021-01-01 22:00:00,29710.43,29720.1,29648.09,29666.34,4781.3015,141843695.62
2021-01-01 23:00:00,29658.01,29797.52,29663.09,29676.35,2492.6787,73973612.73
2021-01-02 00:00:00,29440.09,29470.67,29435.22,29464.95,4322.6688,127367200.6
2021-01-02 01:00:00,29449.23,29452.22,29302.37,29384.74,273.3566,8032514.14
2021-01-02 02:00:00,29414.68,29531.38,29279.75,29401.04,2227.4021,65487942.63
2021-01-02 03:00:00,29292.92,29253.37,29067.54,29231.84,3531.2831,103225901.16
2021-01-02 04:00:00,29146.82,29309.17,29208.26,29286.75,4331.4662,126854574.82
2021-01-02 05:00:00,29204.55,29348.12,29191.54,29198.8,3087.2012,90142562.87
2021-01-02 06:00:00,29064.23,29163.48,29116.86,29156.21,948.9839,27668776.82
2021-01-02 07:00:00,29067.0,29140.3,29031.85,29068.49,4440.3914,129075494.76
2021-01-02 08:00:00,29379.59,29420.94,29233.33,29337.71,2916.5845,85565908.8
2021-01-02 09:00:00,29437.77,29380.12,29220.27,29335.73,629.2891,18460654.63
2021-01-02 10:00:00,29125.83,29227.97,29139.75,29180.59,2372.8492,69241130.49
2021-01-02 11:00:00,29269.79,29474.36,29236.58,29300.6,3524.8226,103279409.96
2021-01-02 12:00:00,29116.18,29165.01,29109.32,29121.74,2309.9772,67270555.33
2021-01-02 13:00:00,29095.33,29178.77,29074.05,29152.15,4366.8715,127303706.23
2021-01-02 14:00:00,28923.01,28893.61,28853.72,28866.51,2176.1021,62816473.89
2021-01-02 15:00:00,28670.79,28728.02,28570.11,28674.81,2958.9182,84846414.71
2021-01-02 16:00:00,28710.04,28874.02,28571.96,28703.03,1134.7351,32570341.38
2021-01-02 17:00:00,28844.75,28819.69,28778.87,28809.02,2612.1631,75253847.19
2021-01-02 18:00:00,28829.56,28852.45,28827.49,28833.7,1192.0008,34369794.09
2021-01-02 19:00:00,28769.91,28839.44,28586.01,28817.03,1203.417,34678901.18
2021-01-02 20:00:00,28770.02,28784.38,28679.9,28773.64,1471.5225,42341061.35
2021-01-02 21:00:00,28512.02,28631.9,28491.22,28560.93,316.5764,9041716.81
2021-01-02 22:00:00,28464.28,28468.4,28377.18,28458.13,900.2172,25618502.3
2021-01-02 23:00:00,28449.2,28430.99,28332.38,28392.59,2179.3671,61877872.57
2021-01-03 00:00:00,28475.59,28560.62,28472.61,28542.66,742.1964,21184261.36
2021-01-03 01:00:00,28504.07,28630.95,28521.58,28591.7,753.5853,21546283.98
2021-01-03 02:00:00,28342.45,28376.53,28202.11,28339.66,4842.866,137245165.8
2021-01-03 03:00:00,28341.99,28536.47,28209.2,28385.58,2192.7771,62243249.89
2021-01-03 04:00:00,28332.73,28385.06,28300.19,28330.93,2078.2902,58879887.46
2021-01-03 05:00:00,28253.13,28291.88,28112.41,28235.04,1411.9047,39865182.04
2021-01-03 06:00:00,28199.97,28414.5,28201.62,28321.39,2610.9911,73946898.64
2021-01-03 07:00:00,28506.66,28561.71,28418.41,28467.39,3020.718,85991950.24
2021-01-03 08:00:00,28533.04,28637.14,28524.78,28599.94,2149.1091,61464396.6
2021-01-03 09:00:00,28478.66,28498.95,28412.53,28479.94,2029.6617,57804634.48
2021-01-03 10:00:00,28398.4,28579.39,28341.32,28435.9,3532.0907,100438191.42
2021-01-03 11:00:00,28451.56,28523.85,28376.95,28483.0,4753.9058,135405510.77
2021-01-03 12:00:00,28718.9,28745.55,28439.16,28621.93,4401.3281,125974526.23
2021-01-03 13:00:00,28571.59,28565.34,28514.78,28553.36,681.2393,19451671.27
2021-01-03 14:00:00,28578.47,28547.27,28481.53,28526.85,3296.3125,94033425.5
2021-01-03 15:00:00,28377.62,28444.42,28305.44,28369.05,134.5333,3816582.34
2021-01-03 16:00:00,28234.34,28350.1,28151.97,28199.38,3202.1497,90298625.66
2021-01-03 17:00:00,28337.58,28429.86,28166.97,28313.94,2375.3326,67255024.87
2021-01-03 18:00:00,28520.45,28510.43,28356.19,28505.94,2506.454,71448832.94
2021-01-03 19:00:00,28558.78,28519.3,28441.52,28495.68,2981.3255,84954894.27
2021-01-03 20:00:00,28647.63,28675.93,28596.75,28638.66,3739.0114,107080278.7
2021-01-03 21:00:00,28821.57,28709.01,28678.68,28690.44,3674.3432,105418541.57
2021-01-03 22:00:00,28652.84,28628.15,28522.41,28597.9,317.9473,9092624.08
